YEAR,MO,DY,ALLSKY_SFC_SW_DWN,CLRSKY_SFC_SW_DWN,WS2M,PS,WS10M,WS10M_MAX,WS10M_MIN,WS10M_RANGE,WD10M,WS50M,WS50M_MAX,WS50M_MIN,WS50M_RANGE,WD50M
2023,6,21,1.54,7.71,1.83,100.75,4.84,6.42,3.0,3.42,39.0,7.92,10.21,5.65,4.57,43.19
2023,6,22,2.08,7.76,1.06,100.83,2.81,3.53,2.16,1.37,71.06,4.75,5.64,3.79,1.85,74.38
2023,6,23,3.31,7.78,0.58,100.55,1.7,2.2,1.2,1.0,171.75,3.5,4.72,2.78,1.94,173.38
2023,6,24,5.52,7.89,0.64,100.38,1.72,2.15,1.34,0.8,257.0,3.22,4.64,2.4,2.24,257.75
2023,6,25,7.39,8.04,0.61,100.33,1.7,2.35,0.91,1.45,258.25,3.44,5.64,1.36,4.28,259.88
2023,6,26,6.42,8.05,0.85,99.91,2.38,3.44,1.62,1.81,208.44,4.66,5.84,2.91,2.92,209.88
2023,6,27,7.11,8.12,0.75,99.94,2.05,3.27,1.45,1.82,254.0,3.98,5.34,2.74,2.59,255.12
2023,6,28,6.83,8.02,0.74,100.52,1.99,2.47,1.3,1.16,269.0,3.75,5.3,2.33,2.96,269.69
2023,6,29,7.11,7.21,0.52,100.96,1.4,2.05,0.35,1.7,245.94,2.72,4.91,0.55,4.35,247.19
2023,6,30,5.59,7.33,0.64,100.9,1.76,2.18,1.42,0.76,160.19,3.4,4.7,2.01,2.69,162.19
2023,7,1,5.48,7.37,0.6,100.77,1.68,2.19,1.15,1.03,184.44,3.27,4.51,1.63,2.87,186.62
2023,7,2,6.06,7.68,0.85,100.48,2.38,3.11,1.77,1.33,218.62,4.7,6.05,3.67,2.38,219.94
2023,7,3,6.02,7.62,0.82,100.48,2.29,3.19,1.6,1.59,217.56,4.54,5.34,3.05,2.3,218.94
2023,7,4,7.17,7.95,0.76,100.66,2.05,2.77,1.47,1.3,260.0,3.96,5.12,2.5,2.62,260.81
2023,7,5,6.55,7.75,0.5,100.78,1.23,1.76,0.84,0.91,293.19,2.15,4.38,1.12,3.27,294.31
2023,7,6,5.73,7.58,0.41,100.51,1.11,1.52,0.45,1.06,177.44,2.05,4.22,0.57,3.65,177.06
2023,7,7,6.09,7.75,0.38,100.32,0.88,1.27,0.39,0.88,242.62,1.6,3.55,0.52,3.02,243.06
2023,7,8,5.19,7.69,0.39,100.26,0.99,1.45,0.25,1.2,248.62,1.86,4.15,0.16,3.99,246.75
2023,7,9,4.13,7.68,0.48,100.14,1.17,2.63,0.38,2.25,278.0,2.03,3.95,0.58,3.38,278.0
2023,7,10,5.28,7.78,0.71,100.35,1.82,2.49,1.15,1.34,297.44,3.19,4.59,2.2,2.39,298.88
2023,7,11,7.66,8.0,0.7,100.66,1.87,2.12,1.4,0.73,294.06,3.51,5.25,2.36,2.9,295.19
2023,7,12,7.77,7.95,0.63,100.75,1.69,2.08,0.88,1.2,252.62,3.21,5.52,1.3,4.23,252.56
2023,7,13,7.01,7.92,0.91,100.47,2.46,3.76,1.54,2.22,217.12,4.79,5.85,3.0,2.85,218.06
2023,7,14,6.13,7.53,0.76,100.51,2.04,2.82,1.39,1.42,220.12,3.91,4.58,3.34,1.23,220.94
2023,7,15,5.37,7.58,0.56,100.51,1.52,2.08,0.3,1.78,205.44,2.99,4.49,0.59,3.91,205.38
2023,7,16,4.47,7.5,0.86,100.24,2.3,3.55,1.73,1.83,229.81,4.39,5.45,3.38,2.08,231.0
2023,7,17,6.43,6.97,0.59,100.71,1.52,2.25,0.53,1.72,244.88,2.77,4.55,0.71,3.84,244.62
2023,7,18,6.98,7.1,0.69,100.81,1.88,2.68,1.36,1.32,266.81,3.57,4.95,1.95,3.02,267.06
2023,7,19,4.27,6.89,0.66,100.85,1.77,2.2,1.33,0.88,242.5,3.51,4.79,2.66,2.13,243.31
2023,7,20,7.37,7.69,0.55,100.68,1.36,1.89,0.73,1.16,274.38,2.45,4.52,1.05,3.47,274.75
2023,7,21,6.64,7.69,0.74,100.12,1.93,2.85,1.39,1.47,288.81,3.51,4.44,2.12,2.31,289.31
2023,7,22,4.78,7.63,0.7,100.35,1.71,2.45,0.38,2.07,278.94,2.94,5.41,0.48,4.93,249.5
2023,7,23,7.32,7.77,0.48,100.76,1.29,1.95,0.81,1.14,229.44,2.44,4.74,1.12,3.62,230.81
2023,7,24,6.05,7.59,0.27,101.03,0.85,1.53,0.09,1.44,180.62,1.89,4.12,0.21,3.9,186.44
2023,7,25,7.17,7.55,0.59,101.06,1.44,2.12,0.16,1.96,219.0,2.49,3.41,0.25,3.16,218.0
2023,7,26,7.55,7.69,0.51,101.11,1.27,2.02,0.24,1.78,172.94,2.31,5.36,0.13,5.23,172.0
2023,7,27,7.54,7.61,1.07,100.92,2.98,4.34,1.94,2.41,213.56,5.6,6.72,3.73,2.99,215.25
2023,7,28,7.38,7.47,0.89,100.94,2.47,3.27,1.98,1.3,228.12,4.69,6.11,3.45,2.66,229.62
2023,7,29,7.1,7.51,1.27,100.57,3.42,5.44,1.98,3.47,233.12,6.03,8.59,4.16,4.42,235.31
2023,7,30,7.16,7.76,0.73,100.68,1.95,3.19,0.86,2.33,119.5,3.56,4.95,1.52,3.43,118.69
2023,7,31,6.05,7.62,0.64,100.83,1.66,2.27,1.11,1.17,216.31,2.89,4.02,1.95,2.05,215.5
2023,8,1,6.72,6.89,0.77,101.25,2.07,2.97,1.51,1.46,69.81,3.82,4.98,2.53,2.45,70.0
2023,8,2,6.25,6.74,0.43,101.45,1.16,1.91,0.12,1.78,157.81,2.21,4.95,0.12,4.84,141.5
2023,8,3,2.57,6.75,0.72,101.13,1.9,3.56,0.5,3.06,176.88,3.45,5.56,1.02,4.54,178.5
