YEAR,MO,DY,PS,WS10M,WS10M_MAX,WS10M_MIN,WS10M_RANGE,WD10M,WS50M,WS50M_MAX,WS50M_MIN,WS50M_RANGE,WD50M,ALLSKY_SFC_SW_DWN,CLRSKY_SFC_SW_DWN,WS2M
2021,7,4,100.43,2.08,2.9,0.4,2.5,267.69,3.33,5.37,0.69,4.68,269.25,6.71,8.02,1.34
2021,7,5,100.83,2.57,4.52,0.3,4.21,196.5,3.93,7.9,0.32,7.58,198.12,7.16,7.72,1.71
2021,7,6,100.81,3.15,4.01,2.48,1.52,224.25,5.18,7.05,2.78,4.27,226.38,7.34,7.39,2.08
2021,7,7,100.62,2.75,3.66,1.16,2.51,212.94,4.48,6.75,1.41,5.35,214.62,6.56,7.26,1.8
2021,7,8,100.54,3.77,6.6,2.2,4.41,174.19,5.38,8.8,2.64,6.16,175.12,3.39,7.32,2.58
2021,7,9,100.3,3.2,6.83,1.22,5.61,253.38,4.57,9.03,1.98,7.05,255.25,6.4,7.74,2.21
2021,7,10,100.75,3.15,4.81,0.73,4.09,273.44,4.41,7.65,1.03,6.62,274.0,7.27,7.85,2.17
2021,7,11,100.79,4.3,5.43,2.55,2.88,163.69,6.27,6.91,5.0,1.91,165.12,6.08,7.4,2.94
2021,7,12,101.0,3.22,3.89,2.48,1.41,198.81,5.09,6.77,3.36,3.41,200.75,7.12,7.68,2.17
2021,7,13,101.21,3.76,5.77,2.48,3.3,206.25,5.86,8.04,3.35,4.69,207.75,7.01,7.82,2.53
2021,7,14,101.22,2.74,3.76,2.07,1.69,240.25,4.23,6.4,2.89,3.51,241.44,5.67,7.54,1.89
2021,7,15,101.0,2.11,3.55,0.68,2.88,236.31,3.43,6.62,0.88,5.74,239.0,6.72,7.21,1.41
2021,7,16,100.82,2.39,2.99,1.48,1.51,235.0,3.84,6.1,1.8,4.3,237.31,7.2,7.46,1.59
2021,7,17,100.76,3.16,4.99,2.01,2.98,207.88,4.75,6.81,2.41,4.4,209.44,5.77,7.49,2.13
2021,7,18,100.83,4.83,6.61,2.41,4.2,282.62,6.66,7.97,4.85,3.12,282.81,6.45,7.61,3.35
2021,7,19,100.8,2.28,3.74,1.25,2.49,279.5,3.45,6.59,1.93,4.66,283.5,5.48,6.91,1.56
2021,7,20,100.52,1.95,3.23,1.14,2.09,262.06,2.97,5.77,1.47,4.3,247.94,6.02,6.16,1.23
2021,7,21,100.43,3.5,4.73,2.15,2.58,244.19,5.23,7.59,2.45,5.13,244.44,5.46,6.3,2.38
2021,7,22,101.11,3.1,4.31,1.56,2.75,262.75,4.24,6.77,2.2,4.57,263.44,7.1,7.57,2.2
2021,7,23,101.18,1.95,2.73,1.23,1.49,112.06,2.72,4.29,1.72,2.57,124.88,6.91,7.53,1.29
2021,7,24,100.95,3.55,5.23,1.42,3.8,183.81,4.68,7.12,1.7,5.42,184.75,5.3,7.37,2.45
2021,7,25,100.43,4.4,6.26,3.04,3.22,212.69,6.24,7.83,3.8,4.02,215.0,4.81,6.91,3.04
2021,7,26,100.43,1.37,2.55,0.34,2.21,272.06,2.09,5.1,0.41,4.69,272.38,5.38,7.13,0.88
2021,7,27,100.57,1.62,2.71,0.62,2.09,278.31,2.4,4.41,0.95,3.45,277.94,7.15,7.3,1.08
2021,7,28,100.62,2.89,4.12,1.66,2.45,209.19,4.38,6.64,2.74,3.9,208.06,6.78,7.31,1.91
